interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,solar
2022-12-31T00:00:00-08:00,2022-12-31T08:00:00+00:00,2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,CAISO,-154.40763
2022-12-31T00:00:00-08:00,2022-12-31T08:00:00+00:00,2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,NP15,-2.89788
2022-12-31T00:00:00-08:00,2022-12-31T08:00:00+00:00,2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,SP15,-107.09726
2022-12-31T00:00:00-08:00,2022-12-31T08:00:00+00:00,2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,ZP26,-44.41249
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-02T00:00:00-08:00,2023-01-02T08:00:00+00:00,CAISO,42136.50786
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-02T00:00:00-08:00,2023-01-02T08:00:00+00:00,NP15,8397.51355
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-02T00:00:00-08:00,2023-01-02T08:00:00+00:00,SP15,25505.56896
2023-01-01T00:00:00-08:00,2023-01-01T08:00:00+00:00,2023-01-02T00:00:00-08:00,2023-01-02T08:00:00+00:00,ZP26,8233.42535
2023-01-02T00:00:00-08:00,2023-01-02T08:00:00+00:00,2023-01-03T00:00:00-08:00,2023-01-03T08:00:00+00:00,CAISO,40939.68786
2023-01-02T00:00:00-08:00,2023-01-02T08:00:00+00:00,2023-01-03T00:00:00-08:00,2023-01-03T08:00:00+00:00,NP15,1220.31041
2023-01-02T00:00:00-08:00,2023-01-02T08:00:00+00:00,2023-01-03T00:00:00-08:00,2023-01-03T08:00:00+00:00,SP15,37721.7506
2023-01-02T00:00:00-08:00,2023-01-02T08:00:00+00:00,2023-01-03T00:00:00-08:00,2023-01-03T08:00:00+00:00,ZP26,1997.62685
2023-01-03T00:00:00-08:00,2023-01-03T08:00:00+00:00,2023-01-04T00:00:00-08:00,2023-01-04T08:00:00+00:00,CAISO,55932.46857
2023-01-03T00:00:00-08:00,2023-01-03T08:00:00+00:00,2023-01-04T00:00:00-08:00,2023-01-04T08:00:00+00:00,NP15,5803.22605
2023-01-03T00:00:00-08:00,2023-01-03T08:00:00+00:00,2023-01-04T00:00:00-08:00,2023-01-04T08:00:00+00:00,SP15,42509.84072
2023-01-03T00:00:00-08:00,2023-01-03T08:00:00+00:00,2023-01-04T00:00:00-08:00,2023-01-04T08:00:00+00:00,ZP26,7619.4018
2023-01-04T00:00:00-08:00,2023-01-04T08:00:00+00:00,2023-01-05T00:00:00-08:00,2023-01-05T08:00:00+00:00,CAISO,29739.278
2023-01-04T00:00:00-08:00,2023-01-04T08:00:00+00:00,2023-01-05T00:00:00-08:00,2023-01-05T08:00:00+00:00,NP15,2921.0667
2023-01-04T00:00:00-08:00,2023-01-04T08:00:00+00:00,2023-01-05T00:00:00-08:00,2023-01-05T08:00:00+00:00,SP15,22238.62057
2023-01-04T00:00:00-08:00,2023-01-04T08:00:00+00:00,2023-01-05T00:00:00-08:00,2023-01-05T08:00:00+00:00,ZP26,4579.59073
2023-01-05T00:00:00-08:00,2023-01-05T08:00:00+00:00,2023-01-06T00:00:00-08:00,2023-01-06T08:00:00+00:00,CAISO,34832.56194
2023-01-05T00:00:00-08:00,2023-01-05T08:00:00+00:00,2023-01-06T00:00:00-08:00,2023-01-06T08:00:00+00:00,NP15,2932.12812
2023-01-05T00:00:00-08:00,2023-01-05T08:00:00+00:00,2023-01-06T00:00:00-08:00,2023-01-06T08:00:00+00:00,SP15,27230.4704
2023-01-05T00:00:00-08:00,2023-01-05T08:00:00+00:00,2023-01-06T00:00:00-08:00,2023-01-06T08:00:00+00:00,ZP26,4669.96342
2023-01-06T00:00:00-08:00,2023-01-06T08:00:00+00:00,2023-01-07T00:00:00-08:00,2023-01-07T08:00:00+00:00,CAISO,63755.21377
2023-01-06T00:00:00-08:00,2023-01-06T08:00:00+00:00,2023-01-07T00:00:00-08:00,2023-01-07T08:00:00+00:00,NP15,7313.00423
2023-01-06T00:00:00-08:00,2023-01-06T08:00:00+00:00,2023-01-07T00:00:00-08:00,2023-01-07T08:00:00+00:00,SP15,47428.78909
2023-01-06T00:00:00-08:00,2023-01-06T08:00:00+00:00,2023-01-07T00:00:00-08:00,2023-01-07T08:00:00+00:00,ZP26,9013.42045
2023-01-07T00:00:00-08:00,2023-01-07T08:00:00+00:00,2023-01-08T00:00:00-08:00,2023-01-08T08:00:00+00:00,CAISO,42576.17793
2023-01-07T00:00:00-08:00,2023-01-07T08:00:00+00:00,2023-01-08T00:00:00-08:00,2023-01-08T08:00:00+00:00,NP15,2797.36389
2023-01-07T00:00:00-08:00,2023-01-07T08:00:00+00:00,2023-01-08T00:00:00-08:00,2023-01-08T08:00:00+00:00,SP15,34466.76701
2023-01-07T00:00:00-08:00,2023-01-07T08:00:00+00:00,2023-01-08T00:00:00-08:00,2023-01-08T08:00:00+00:00,ZP26,5312.04703
2023-01-08T00:00:00-08:00,2023-01-08T08:00:00+00:00,2023-01-09T00:00:00-08:00,2023-01-09T08:00:00+00:00,CAISO,47794.80884
2023-01-08T00:00:00-08:00,2023-01-08T08:00:00+00:00,2023-01-09T00:00:00-08:00,2023-01-09T08:00:00+00:00,NP15,3042.35492
2023-01-08T00:00:00-08:00,2023-01-08T08:00:00+00:00,2023-01-09T00:00:00-08:00,2023-01-09T08:00:00+00:00,SP15,41038.08097
2023-01-08T00:00:00-08:00,2023-01-08T08:00:00+00:00,2023-01-09T00:00:00-08:00,2023-01-09T08:00:00+00:00,ZP26,3714.37295
