interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,solar
2019-12-31T19:00:00-05:00,2020-01-01T00:00:00+00:00,2019-12-31T19:05:00-05:00,2020-01-01T00:05:00+00:00,0.0
2019-12-31T19:05:00-05:00,2020-01-01T00:05:00+00:00,2019-12-31T19:10:00-05:00,2020-01-01T00:10:00+00:00,0.0
2019-12-31T19:10:00-05:00,2020-01-01T00:10:00+00:00,2019-12-31T19:15:00-05:00,2020-01-01T00:15:00+00:00,0.0
2019-12-31T19:15:00-05:00,2020-01-01T00:15:00+00:00,2019-12-31T19:20:00-05:00,2020-01-01T00:20:00+00:00,0.0
2019-12-31T19:20:00-05:00,2020-01-01T00:20:00+00:00,2019-12-31T19:25:00-05:00,2020-01-01T00:25:00+00:00,0.0
2019-12-31T19:25:00-05:00,2020-01-01T00:25:00+00:00,2019-12-31T19:30:00-05:00,2020-01-01T00:30:00+00:00,0.0
2019-12-31T19:30:00-05:00,2020-01-01T00:30:00+00:00,2019-12-31T19:35:00-05:00,2020-01-01T00:35:00+00:00,0.0
2019-12-31T19:35:00-05:00,2020-01-01T00:35:00+00:00,2019-12-31T19:40:00-05:00,2020-01-01T00:40:00+00:00,0.0
2019-12-31T19:40:00-05:00,2020-01-01T00:40:00+00:00,2019-12-31T19:45:00-05:00,2020-01-01T00:45:00+00:00,0.0
2019-12-31T19:45:00-05:00,2020-01-01T00:45:00+00:00,2019-12-31T19:50:00-05:00,2020-01-01T00:50:00+00:00,0.0
2019-12-31T19:50:00-05:00,2020-01-01T00:50:00+00:00,2019-12-31T19:55:00-05:00,2020-01-01T00:55:00+00:00,0.0
2019-12-31T19:55:00-05:00,2020-01-01T00:55:00+00:00,2019-12-31T20:00:00-05:00,2020-01-01T01:00:00+00:00,0.0
2019-12-31T20:00:00-05:00,2020-01-01T01:00:00+00:00,2019-12-31T20:05:00-05:00,2020-01-01T01:05:00+00:00,0.0
2019-12-31T20:05:00-05:00,2020-01-01T01:05:00+00:00,2019-12-31T20:10:00-05:00,2020-01-01T01:10:00+00:00,0.0
2019-12-31T20:10:00-05:00,2020-01-01T01:10:00+00:00,2019-12-31T20:15:00-05:00,2020-01-01T01:15:00+00:00,0.0
2019-12-31T20:15:00-05:00,2020-01-01T01:15:00+00:00,2019-12-31T20:20:00-05:00,2020-01-01T01:20:00+00:00,0.0
2019-12-31T20:20:00-05:00,2020-01-01T01:20:00+00:00,2019-12-31T20:25:00-05:00,2020-01-01T01:25:00+00:00,0.0
2019-12-31T20:25:00-05:00,2020-01-01T01:25:00+00:00,2019-12-31T20:30:00-05:00,2020-01-01T01:30:00+00:00,0.0
2019-12-31T20:30:00-05:00,2020-01-01T01:30:00+00:00,2019-12-31T20:35:00-05:00,2020-01-01T01:35:00+00:00,0.0
2019-12-31T20:35:00-05:00,2020-01-01T01:35:00+00:00,2019-12-31T20:40:00-05:00,2020-01-01T01:40:00+00:00,0.0
2019-12-31T20:40:00-05:00,2020-01-01T01:40:00+00:00,2019-12-31T20:45:00-05:00,2020-01-01T01:45:00+00:00,0.0
2019-12-31T20:45:00-05:00,2020-01-01T01:45:00+00:00,2019-12-31T20:50:00-05:00,2020-01-01T01:50:00+00:00,0.0
2019-12-31T20:50:00-05:00,2020-01-01T01:50:00+00:00,2019-12-31T20:55:00-05:00,2020-01-01T01:55:00+00:00,0.0
2019-12-31T20:55:00-05:00,2020-01-01T01:55:00+00:00,2019-12-31T21:00:00-05:00,2020-01-01T02:00:00+00:00,0.0
2019-12-31T21:00:00-05:00,2020-01-01T02:00:00+00:00,2019-12-31T21:05:00-05:00,2020-01-01T02:05:00+00:00,0.0
2019-12-31T21:05:00-05:00,2020-01-01T02:05:00+00:00,2019-12-31T21:10:00-05:00,2020-01-01T02:10:00+00:00,0.0
2019-12-31T21:10:00-05:00,2020-01-01T02:10:00+00:00,2019-12-31T21:15:00-05:00,2020-01-01T02:15:00+00:00,0.0
2019-12-31T21:15:00-05:00,2020-01-01T02:15:00+00:00,2019-12-31T21:20:00-05:00,2020-01-01T02:20:00+00:00,0.0
2019-12-31T21:20:00-05:00,2020-01-01T02:20:00+00:00,2019-12-31T21:25:00-05:00,2020-01-01T02:25:00+00:00,0.0
2019-12-31T21:25:00-05:00,2020-01-01T02:25:00+00:00,2019-12-31T21:30:00-05:00,2020-01-01T02:30:00+00:00,0.0
2019-12-31T21:30:00-05:00,2020-01-01T02:30:00+00:00,2019-12-31T21:35:00-05:00,2020-01-01T02:35:00+00:00,0.0
2019-12-31T21:35:00-05:00,2020-01-01T02:35:00+00:00,2019-12-31T21:40:00-05:00,2020-01-01T02:40:00+00:00,0.0
2019-12-31T21:40:00-05:00,2020-01-01T02:40:00+00:00,2019-12-31T21:45:00-05:00,2020-01-01T02:45:00+00:00,0.0
2019-12-31T21:45:00-05:00,2020-01-01T02:45:00+00:00,2019-12-31T21:50:00-05:00,2020-01-01T02:50:00+00:00,0.0
2019-12-31T21:50:00-05:00,2020-01-01T02:50:00+00:00,2019-12-31T21:55:00-05:00,2020-01-01T02:55:00+00:00,0.0
2019-12-31T21:55:00-05:00,2020-01-01T02:55:00+00:00,2019-12-31T22:00:00-05:00,2020-01-01T03:00:00+00:00,0.0
2019-12-31T22:00:00-05:00,2020-01-01T03:00:00+00:00,2019-12-31T22:05:00-05:00,2020-01-01T03:05:00+00:00,0.0
2019-12-31T22:05:00-05:00,2020-01-01T03:05:00+00:00,2019-12-31T22:10:00-05:00,2020-01-01T03:10:00+00:00,0.0
2019-12-31T22:10:00-05:00,2020-01-01T03:10:00+00:00,2019-12-31T22:15:00-05:00,2020-01-01T03:15:00+00:00,0.0
2019-12-31T22:15:00-05:00,2020-01-01T03:15:00+00:00,2019-12-31T22:20:00-05:00,2020-01-01T03:20:00+00:00,0.0
2019-12-31T22:20:00-05:00,2020-01-01T03:20:00+00:00,2019-12-31T22:25:00-05:00,2020-01-01T03:25:00+00:00,0.0
2019-12-31T22:25:00-05:00,2020-01-01T03:25:00+00:00,2019-12-31T22:30:00-05:00,2020-01-01T03:30:00+00:00,0.0
2019-12-31T22:30:00-05:00,2020-01-01T03:30:00+00:00,2019-12-31T22:35:00-05:00,2020-01-01T03:35:00+00:00,0.0
2019-12-31T22:35:00-05:00,2020-01-01T03:35:00+00:00,2019-12-31T22:40:00-05:00,2020-01-01T03:40:00+00:00,0.0
2019-12-31T22:40:00-05:00,2020-01-01T03:40:00+00:00,2019-12-31T22:45:00-05:00,2020-01-01T03:45:00+00:00,0.0
2019-12-31T22:45:00-05:00,2020-01-01T03:45:00+00:00,2019-12-31T22:50:00-05:00,2020-01-01T03:50:00+00:00,0.0
2019-12-31T22:50:00-05:00,2020-01-01T03:50:00+00:00,2019-12-31T22:55:00-05:00,2020-01-01T03:55:00+00:00,0.0
2019-12-31T22:55:00-05:00,2020-01-01T03:55:00+00:00,2019-12-31T23:00:00-05:00,2020-01-01T04:00:00+00:00,0.0
2019-12-31T23:00:00-05:00,2020-01-01T04:00:00+00:00,2019-12-31T23:05:00-05:00,2020-01-01T04:05:00+00:00,0.0
2019-12-31T23:05:00-05:00,2020-01-01T04:05:00+00:00,2019-12-31T23:10:00-05:00,2020-01-01T04:10:00+00:00,0.0
2019-12-31T23:10:00-05:00,2020-01-01T04:10:00+00:00,2019-12-31T23:15:00-05:00,2020-01-01T04:15:00+00:00,0.0
2019-12-31T23:15:00-05:00,2020-01-01T04:15:00+00:00,2019-12-31T23:20:00-05:00,2020-01-01T04:20:00+00:00,0.0
2019-12-31T23:20:00-05:00,2020-01-01T04:20:00+00:00,2019-12-31T23:25:00-05:00,2020-01-01T04:25:00+00:00,0.0
2019-12-31T23:25:00-05:00,2020-01-01T04:25:00+00:00,2019-12-31T23:30:00-05:00,2020-01-01T04:30:00+00:00,0.0
2019-12-31T23:30:00-05:00,2020-01-01T04:30:00+00:00,2019-12-31T23:35:00-05:00,2020-01-01T04:35:00+00:00,0.0
2019-12-31T23:35:00-05:00,2020-01-01T04:35:00+00:00,2019-12-31T23:40:00-05:00,2020-01-01T04:40:00+00:00,0.0
2019-12-31T23:40:00-05:00,2020-01-01T04:40:00+00:00,2019-12-31T23:45:00-05:00,2020-01-01T04:45:00+00:00,0.0
2019-12-31T23:45:00-05:00,2020-01-01T04:45:00+00:00,2019-12-31T23:50:00-05:00,2020-01-01T04:50:00+00:00,0.0
2019-12-31T23:50:00-05:00,2020-01-01T04:50:00+00:00,2019-12-31T23:55:00-05:00,2020-01-01T04:55:00+00:00,0.0
2019-12-31T23:55:00-05:00,2020-01-01T04:55:00+00:00,2020-01-01T00:00:00-05:00,2020-01-01T05:00:00+00:00,0.0
2020-01-01T00:00:00-05:00,2020-01-01T05:00:00+00:00,2020-01-01T00:05:00-05:00,2020-01-01T05:05:00+00:00,0.0
2020-01-01T00:05:00-05:00,2020-01-01T05:05:00+00:00,2020-01-01T00:10:00-05:00,2020-01-01T05:10:00+00:00,0.0
2020-01-01T00:10:00-05:00,2020-01-01T05:10:00+00:00,2020-01-01T00:15:00-05:00,2020-01-01T05:15:00+00:00,0.0
2020-01-01T00:15:00-05:00,2020-01-01T05:15:00+00:00,2020-01-01T00:20:00-05:00,2020-01-01T05:20:00+00:00,0.0
2020-01-01T00:20:00-05:00,2020-01-01T05:20:00+00:00,2020-01-01T00:25:00-05:00,2020-01-01T05:25:00+00:00,0.0
2020-01-01T00:25:00-05:00,2020-01-01T05:25:00+00:00,2020-01-01T00:30:00-05:00,2020-01-01T05:30:00+00:00,0.0
2020-01-01T00:30:00-05:00,2020-01-01T05:30:00+00:00,2020-01-01T00:35:00-05:00,2020-01-01T05:35:00+00:00,0.0
2020-01-01T00:35:00-05:00,2020-01-01T05:35:00+00:00,2020-01-01T00:40:00-05:00,2020-01-01T05:40:00+00:00,0.0
2020-01-01T00:40:00-05:00,2020-01-01T05:40:00+00:00,2020-01-01T00:45:00-05:00,2020-01-01T05:45:00+00:00,0.0
2020-01-01T00:45:00-05:00,2020-01-01T05:45:00+00:00,2020-01-01T00:50:00-05:00,2020-01-01T05:50:00+00:00,0.0
2020-01-01T00:50:00-05:00,2020-01-01T05:50:00+00:00,2020-01-01T00:55:00-05:00,2020-01-01T05:55:00+00:00,0.0
2020-01-01T00:55:00-05:00,2020-01-01T05:55:00+00:00,2020-01-01T01:00:00-05:00,2020-01-01T06:00:00+00:00,0.0
2020-01-01T01:00:00-05:00,2020-01-01T06:00:00+00:00,2020-01-01T01:05:00-05:00,2020-01-01T06:05:00+00:00,0.0
2020-01-01T01:05:00-05:00,2020-01-01T06:05:00+00:00,2020-01-01T01:10:00-05:00,2020-01-01T06:10:00+00:00,0.0
2020-01-01T01:10:00-05:00,2020-01-01T06:10:00+00:00,2020-01-01T01:15:00-05:00,2020-01-01T06:15:00+00:00,0.0
2020-01-01T01:15:00-05:00,2020-01-01T06:15:00+00:00,2020-01-01T01:20:00-05:00,2020-01-01T06:20:00+00:00,0.0
2020-01-01T01:20:00-05:00,2020-01-01T06:20:00+00:00,2020-01-01T01:25:00-05:00,2020-01-01T06:25:00+00:00,0.0
2020-01-01T01:25:00-05:00,2020-01-01T06:25:00+00:00,2020-01-01T01:30:00-05:00,2020-01-01T06:30:00+00:00,0.0
2020-01-01T01:30:00-05:00,2020-01-01T06:30:00+00:00,2020-01-01T01:35:00-05:00,2020-01-01T06:35:00+00:00,0.0
2020-01-01T01:35:00-05:00,2020-01-01T06:35:00+00:00,2020-01-01T01:40:00-05:00,2020-01-01T06:40:00+00:00,0.0
2020-01-01T01:40:00-05:00,2020-01-01T06:40:00+00:00,2020-01-01T01:45:00-05:00,2020-01-01T06:45:00+00:00,0.0
2020-01-01T01:45:00-05:00,2020-01-01T06:45:00+00:00,2020-01-01T01:50:00-05:00,2020-01-01T06:50:00+00:00,0.0
2020-01-01T01:50:00-05:00,2020-01-01T06:50:00+00:00,2020-01-01T01:55:00-05:00,2020-01-01T06:55:00+00:00,0.0
2020-01-01T01:55:00-05:00,2020-01-01T06:55:00+00:00,2020-01-01T02:00:00-05:00,2020-01-01T07:00:00+00:00,0.0
2020-01-01T02:00:00-05:00,2020-01-01T07:00:00+00:00,2020-01-01T02:05:00-05:00,2020-01-01T07:05:00+00:00,0.0
2020-01-01T02:05:00-05:00,2020-01-01T07:05:00+00:00,2020-01-01T02:10:00-05:00,2020-01-01T07:10:00+00:00,0.0
2020-01-01T02:10:00-05:00,2020-01-01T07:10:00+00:00,2020-01-01T02:15:00-05:00,2020-01-01T07:15:00+00:00,0.0
2020-01-01T02:15:00-05:00,2020-01-01T07:15:00+00:00,2020-01-01T02:20:00-05:00,2020-01-01T07:20:00+00:00,0.0
2020-01-01T02:20:00-05:00,2020-01-01T07:20:00+00:00,2020-01-01T02:25:00-05:00,2020-01-01T07:25:00+00:00,0.0
2020-01-01T02:25:00-05:00,2020-01-01T07:25:00+00:00,2020-01-01T02:30:00-05:00,2020-01-01T07:30:00+00:00,0.0
2020-01-01T02:30:00-05:00,2020-01-01T07:30:00+00:00,2020-01-01T02:35:00-05:00,2020-01-01T07:35:00+00:00,0.0
2020-01-01T02:35:00-05:00,2020-01-01T07:35:00+00:00,2020-01-01T02:40:00-05:00,2020-01-01T07:40:00+00:00,0.0
2020-01-01T02:40:00-05:00,2020-01-01T07:40:00+00:00,2020-01-01T02:45:00-05:00,2020-01-01T07:45:00+00:00,0.0
2020-01-01T02:45:00-05:00,2020-01-01T07:45:00+00:00,2020-01-01T02:50:00-05:00,2020-01-01T07:50:00+00:00,0.0
2020-01-01T02:50:00-05:00,2020-01-01T07:50:00+00:00,2020-01-01T02:55:00-05:00,2020-01-01T07:55:00+00:00,0.0
2020-01-01T02:55:00-05:00,2020-01-01T07:55:00+00:00,2020-01-01T03:00:00-05:00,2020-01-01T08:00:00+00:00,0.0
2020-01-01T03:00:00-05:00,2020-01-01T08:00:00+00:00,2020-01-01T03:05:00-05:00,2020-01-01T08:05:00+00:00,0.0
2020-01-01T03:05:00-05:00,2020-01-01T08:05:00+00:00,2020-01-01T03:10:00-05:00,2020-01-01T08:10:00+00:00,0.0
2020-01-01T03:10:00-05:00,2020-01-01T08:10:00+00:00,2020-01-01T03:15:00-05:00,2020-01-01T08:15:00+00:00,0.0
2020-01-01T03:15:00-05:00,2020-01-01T08:15:00+00:00,2020-01-01T03:20:00-05:00,2020-01-01T08:20:00+00:00,0.0
2020-01-01T03:20:00-05:00,2020-01-01T08:20:00+00:00,2020-01-01T03:25:00-05:00,2020-01-01T08:25:00+00:00,0.0
2020-01-01T03:25:00-05:00,2020-01-01T08:25:00+00:00,2020-01-01T03:30:00-05:00,2020-01-01T08:30:00+00:00,0.0
2020-01-01T03:30:00-05:00,2020-01-01T08:30:00+00:00,2020-01-01T03:35:00-05:00,2020-01-01T08:35:00+00:00,0.0
2020-01-01T03:35:00-05:00,2020-01-01T08:35:00+00:00,2020-01-01T03:40:00-05:00,2020-01-01T08:40:00+00:00,0.0
2020-01-01T03:40:00-05:00,2020-01-01T08:40:00+00:00,2020-01-01T03:45:00-05:00,2020-01-01T08:45:00+00:00,0.0
2020-01-01T03:45:00-05:00,2020-01-01T08:45:00+00:00,2020-01-01T03:50:00-05:00,2020-01-01T08:50:00+00:00,0.0
2020-01-01T03:50:00-05:00,2020-01-01T08:50:00+00:00,2020-01-01T03:55:00-05:00,2020-01-01T08:55:00+00:00,0.0
2020-01-01T03:55:00-05:00,2020-01-01T08:55:00+00:00,2020-01-01T04:00:00-05:00,2020-01-01T09:00:00+00:00,0.0
2020-01-01T04:00:00-05:00,2020-01-01T09:00:00+00:00,2020-01-01T04:05:00-05:00,2020-01-01T09:05:00+00:00,0.0
