interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp,energy,congestion,loss
2022-12-01T00:00:00-06:00,2022-12-01T06:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,KCPL_GMOC_HUB,18.1063666666667,22.0604666666667,-4.46031666666667,0.506216666666667
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-02-01T00:00:00-06:00,2023-02-01T06:00:00+00:00,KCPL_GMOC_HUB,25.8260337365592,26.7244196236559,-1.14742043010753,0.249034543010752
2023-02-01T00:00:00-06:00,2023-02-01T06:00:00+00:00,2023-03-01T00:00:00-06:00,2023-03-01T06:00:00+00:00,KCPL_GMOC_HUB,20.1659681547619,20.4896007440476,-0.554524553571429,0.230891964285714
2023-03-01T00:00:00-06:00,2023-03-01T06:00:00+00:00,2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,KCPL_GMOC_HUB,20.4365944818304,21.0251122476447,-0.685134051144011,0.0966162853297443
2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,KCPL_GMOC_HUB,16.9392498611111,20.7076302777778,-3.82488833333333,0.0565079166666666
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,KCPL_GMOC_HUB,27.8860599462366,27.1927455645161,0.378874731182796,0.314439650537635
2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,KCPL_GMOC_HUB,31.2232525,32.19767125,-0.891776944444444,-0.0826418055555556
2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,2023-08-01T00:00:00-05:00,2023-08-01T05:00:00+00:00,KCPL_GMOC_HUB,36.0107455645161,33.6407245967742,2.33480201612903,0.0352189516129034
2023-08-01T00:00:00-05:00,2023-08-01T05:00:00+00:00,2023-09-01T00:00:00-05:00,2023-09-01T05:00:00+00:00,KCPL_GMOC_HUB,37.6663545698925,43.0318931451613,-4.80849946236559,-0.557039112903226
2023-09-01T00:00:00-05:00,2023-09-01T05:00:00+00:00,2023-10-01T00:00:00-05:00,2023-10-01T05:00:00+00:00,KCPL_GMOC_HUB,25.7897729166666,32.5651363888889,-6.68495333333334,-0.0904101388888889
2023-10-01T00:00:00-05:00,2023-10-01T05:00:00+00:00,2023-11-01T00:00:00-05:00,2023-11-01T05:00:00+00:00,KCPL_GMOC_HUB,25.1705797043011,31.3568186827957,-5.98569153225806,-0.200547446236559
2023-11-01T00:00:00-05:00,2023-11-01T05:00:00+00:00,2023-12-01T00:00:00-06:00,2023-12-01T06:00:00+00:00,KCPL_GMOC_HUB,21.8506981969487,27.8258144244105,-5.70064230235783,-0.274473925104022
2023-12-01T00:00:00-06:00,2023-12-01T06:00:00+00:00,2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,KCPL_GMOC_HUB,20.3164478319783,23.808654200542,-3.44110528455284,-0.0511010840108401
