interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp,energy,congestion,loss
2022-12-01T00:00:00-06:00,2022-12-01T06:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,KCPLHUB,15.6721,22.0604666666667,-5.5106,-0.877766666666667
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-02-01T00:00:00-06:00,2023-02-01T06:00:00+00:00,KCPLHUB,18.8704725806451,26.7244208333333,-7.01090860215054,-0.843039650537635
2023-02-01T00:00:00-06:00,2023-02-01T06:00:00+00:00,2023-03-01T00:00:00-06:00,2023-03-01T06:00:00+00:00,KCPLHUB,14.300937202381,20.4896001488095,-5.67207261904762,-0.516590327380952
2023-03-01T00:00:00-06:00,2023-03-01T06:00:00+00:00,2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,KCPLHUB,13.538235935397,21.0251090174966,-6.70042557200539,-0.786447510094212
2023-04-01T00:00:00-05:00,2023-04-01T05:00:00+00:00,2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,KCPLHUB,11.5577619444445,20.7076293055556,-8.42737166666668,-0.722495694444445
2023-05-01T00:00:00-05:00,2023-05-01T05:00:00+00:00,2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,KCPLHUB,23.0224666666667,27.1927444892473,-3.3937125,-0.776565322580645
2023-06-01T00:00:00-05:00,2023-06-01T05:00:00+00:00,2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,KCPLHUB,26.7639216666667,32.1976729166667,-4.28710041666667,-1.14665083333333
2023-07-01T00:00:00-05:00,2023-07-01T05:00:00+00:00,2023-08-01T00:00:00-05:00,2023-08-01T05:00:00+00:00,KCPLHUB,28.670623655914,33.6407216397849,-3.84870766129032,-1.12139032258065
2023-08-01T00:00:00-05:00,2023-08-01T05:00:00+00:00,2023-09-01T00:00:00-05:00,2023-09-01T05:00:00+00:00,KCPLHUB,33.610509811828,43.031890188172,-7.57069758064517,-1.85068279569893
2023-09-01T00:00:00-05:00,2023-09-01T05:00:00+00:00,2023-10-01T00:00:00-05:00,2023-10-01T05:00:00+00:00,KCPLHUB,21.3713922222222,32.5651366666667,-10.0024851388889,-1.19125930555556
2023-10-01T00:00:00-05:00,2023-10-01T05:00:00+00:00,2023-11-01T00:00:00-05:00,2023-11-01T05:00:00+00:00,KCPLHUB,17.8906840053764,31.3568219086022,-12.1464694892473,-1.3196684139785
2023-11-01T00:00:00-05:00,2023-11-01T05:00:00+00:00,2023-12-01T00:00:00-06:00,2023-12-01T06:00:00+00:00,KCPLHUB,18.1362386962552,27.8258142857142,-8.46887309292648,-1.22070249653259
2023-12-01T00:00:00-06:00,2023-12-01T06:00:00+00:00,2024-01-01T00:00:00-06:00,2024-01-01T06:00:00+00:00,KCPLHUB,17.1006462059621,23.8086517615177,-5.80088821138211,-0.907117344173442
