interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,location,lmp,energy,congestion,loss
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,SPPNORTH_HUB,27.3803,25.8619,0.5945,0.9239
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,SPPNORTH_HUB,22.7035,22.7141,-0.7067,0.6961
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,SPPNORTH_HUB,21.4782,21.5111,-0.5574,0.5245
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,SPPNORTH_HUB,20.5295,20.4718,-0.4484,0.5061
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,SPPNORTH_HUB,22.6436,22.2733,-0.4037,0.774
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,SPPNORTH_HUB,18.8836,19.5304,-1.1726,0.5258
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,SPPNORTH_HUB,23.0874,21.878,0.4732,0.7362
2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,SPPNORTH_HUB,20.836,19.7634,0.3631,0.7095
2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,SPPNORTH_HUB,22.352,21.2459,0.3089,0.7972
2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,SPPNORTH_HUB,21.4418,20.6537,0.0342,0.7539
2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,SPPNORTH_HUB,22.051,21.4173,0.0069,0.6268
2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,SPPNORTH_HUB,21.6856,20.8662,0.2539,0.5655
2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,SPPNORTH_HUB,22.9405,22.2581,0.2173,0.4651
2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,SPPNORTH_HUB,25.0788,24.1984,0.3303,0.5501
2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,SPPNORTH_HUB,26.6693,25.8952,0.1966,0.5775
2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,SPPNORTH_HUB,31.6214,31.0799,-0.1534,0.6949
2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,SPPNORTH_HUB,34.0041,33.319,-0.1216,0.8067
2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,SPPNORTH_HUB,37.3963,36.5878,-0.1254,0.9339
