interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,fuel_mix.wind
2022-12-31T18:00:00-06:00,2023-01-01T00:00:00+00:00,2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,8718.691666666668
2022-12-31T19:00:00-06:00,2023-01-01T01:00:00+00:00,2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,10276.358333333332
2022-12-31T20:00:00-06:00,2023-01-01T02:00:00+00:00,2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,10851.533333333333
2022-12-31T21:00:00-06:00,2023-01-01T03:00:00+00:00,2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,11523.766666666665
2022-12-31T22:00:00-06:00,2023-01-01T04:00:00+00:00,2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,11467.491666666663
2022-12-31T23:00:00-06:00,2023-01-01T05:00:00+00:00,2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,11539.866666666667
2023-01-01T00:00:00-06:00,2023-01-01T06:00:00+00:00,2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,10925.675000000001
2023-01-01T01:00:00-06:00,2023-01-01T07:00:00+00:00,2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,10203.358333333335
2023-01-01T02:00:00-06:00,2023-01-01T08:00:00+00:00,2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,10094.691666666668
2023-01-01T03:00:00-06:00,2023-01-01T09:00:00+00:00,2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,10850.425000000001
2023-01-01T04:00:00-06:00,2023-01-01T10:00:00+00:00,2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,10841.908333333333
2023-01-01T05:00:00-06:00,2023-01-01T11:00:00+00:00,2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,10443.583333333334
2023-01-01T06:00:00-06:00,2023-01-01T12:00:00+00:00,2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,9881.824999999999
2023-01-01T07:00:00-06:00,2023-01-01T13:00:00+00:00,2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,9761.058333333332
2023-01-01T08:00:00-06:00,2023-01-01T14:00:00+00:00,2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,9988.199999999999
2023-01-01T09:00:00-06:00,2023-01-01T15:00:00+00:00,2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,8521.775
2023-01-01T10:00:00-06:00,2023-01-01T16:00:00+00:00,2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,6510.308333333333
2023-01-01T11:00:00-06:00,2023-01-01T17:00:00+00:00,2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,5300.841666666666
2023-01-01T12:00:00-06:00,2023-01-01T18:00:00+00:00,2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,4663.841666666666
2023-01-01T13:00:00-06:00,2023-01-01T19:00:00+00:00,2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,4284.116666666667
2023-01-01T14:00:00-06:00,2023-01-01T20:00:00+00:00,2023-01-01T15:00:00-06:00,2023-01-01T21:00:00+00:00,3565.475
2023-01-01T15:00:00-06:00,2023-01-01T21:00:00+00:00,2023-01-01T16:00:00-06:00,2023-01-01T22:00:00+00:00,3627.716666666667
2023-01-01T16:00:00-06:00,2023-01-01T22:00:00+00:00,2023-01-01T17:00:00-06:00,2023-01-01T23:00:00+00:00,4210.583333333334
2023-01-01T17:00:00-06:00,2023-01-01T23:00:00+00:00,2023-01-01T18:00:00-06:00,2023-01-02T00:00:00+00:00,6344.900000000001
2023-01-01T18:00:00-06:00,2023-01-02T00:00:00+00:00,2023-01-01T19:00:00-06:00,2023-01-02T01:00:00+00:00,9437.883333333331
2023-01-01T19:00:00-06:00,2023-01-02T01:00:00+00:00,2023-01-01T20:00:00-06:00,2023-01-02T02:00:00+00:00,10866.341666666665
2023-01-01T20:00:00-06:00,2023-01-02T02:00:00+00:00,2023-01-01T21:00:00-06:00,2023-01-02T03:00:00+00:00,11069.683333333334
2023-01-01T21:00:00-06:00,2023-01-02T03:00:00+00:00,2023-01-01T22:00:00-06:00,2023-01-02T04:00:00+00:00,10070.375000000002
2023-01-01T22:00:00-06:00,2023-01-02T04:00:00+00:00,2023-01-01T23:00:00-06:00,2023-01-02T05:00:00+00:00,9455.6
2023-01-01T23:00:00-06:00,2023-01-02T05:00:00+00:00,2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,9408.783333333335
2023-01-02T00:00:00-06:00,2023-01-02T06:00:00+00:00,2023-01-02T01:00:00-06:00,2023-01-02T07:00:00+00:00,9589.733333333332
2023-01-02T01:00:00-06:00,2023-01-02T07:00:00+00:00,2023-01-02T02:00:00-06:00,2023-01-02T08:00:00+00:00,9993.841666666669
2023-01-02T02:00:00-06:00,2023-01-02T08:00:00+00:00,2023-01-02T03:00:00-06:00,2023-01-02T09:00:00+00:00,10294.133333333333
2023-01-02T03:00:00-06:00,2023-01-02T09:00:00+00:00,2023-01-02T04:00:00-06:00,2023-01-02T10:00:00+00:00,10905.691666666668
2023-01-02T04:00:00-06:00,2023-01-02T10:00:00+00:00,2023-01-02T05:00:00-06:00,2023-01-02T11:00:00+00:00,10912.541666666668
2023-01-02T05:00:00-06:00,2023-01-02T11:00:00+00:00,2023-01-02T06:00:00-06:00,2023-01-02T12:00:00+00:00,10434.966666666667
2023-01-02T06:00:00-06:00,2023-01-02T12:00:00+00:00,2023-01-02T07:00:00-06:00,2023-01-02T13:00:00+00:00,10484.266666666666
2023-01-02T07:00:00-06:00,2023-01-02T13:00:00+00:00,2023-01-02T08:00:00-06:00,2023-01-02T14:00:00+00:00,11798.783333333333
2023-01-02T08:00:00-06:00,2023-01-02T14:00:00+00:00,2023-01-02T09:00:00-06:00,2023-01-02T15:00:00+00:00,12294.966666666667
2023-01-02T09:00:00-06:00,2023-01-02T15:00:00+00:00,2023-01-02T10:00:00-06:00,2023-01-02T16:00:00+00:00,12213.54166666667
2023-01-02T10:00:00-06:00,2023-01-02T16:00:00+00:00,2023-01-02T11:00:00-06:00,2023-01-02T17:00:00+00:00,12499.6
2023-01-02T11:00:00-06:00,2023-01-02T17:00:00+00:00,2023-01-02T12:00:00-06:00,2023-01-02T18:00:00+00:00,12559.383333333337
2023-01-02T12:00:00-06:00,2023-01-02T18:00:00+00:00,2023-01-02T13:00:00-06:00,2023-01-02T19:00:00+00:00,11518.708333333334
2023-01-02T13:00:00-06:00,2023-01-02T19:00:00+00:00,2023-01-02T14:00:00-06:00,2023-01-02T20:00:00+00:00,10802.391666666668
2023-01-02T14:00:00-06:00,2023-01-02T20:00:00+00:00,2023-01-02T15:00:00-06:00,2023-01-02T21:00:00+00:00,11206.766666666668
2023-01-02T15:00:00-06:00,2023-01-02T21:00:00+00:00,2023-01-02T16:00:00-06:00,2023-01-02T22:00:00+00:00,11359.450000000003
