year,month,avg_wind_generation_mw,total_wind_generation_mwh
2021,1,2588.406736909581,1925127.510576501
2021,2,2229.868722939732,1498471.7818154998
2021,3,3528.7217288571887,2625368.9662697483
2021,4,3089.1130195479127,2224161.3740744973
2021,5,3059.096752497986,2275967.9838585015
2021,6,2416.641904124302,1739982.1709694976
2021,7,1804.0863937731865,1342240.2769672507
2021,8,2477.8431391300423,1843515.2955127514
2021,9,2350.397523492012,1692286.2169142487
2021,10,2891.9756191589377,2151629.86065425
2021,11,2960.6908954065984,2131697.444692751
2021,12,3225.7798691565854,2399980.2226524996
2022,1,2833.9215121975785,2108437.6050749985
2022,2,3067.4644131224,2061336.0856182529
2022,3,3698.7051286710343,2751836.6157312496
2022,4,4069.6375016565944,2930139.001192748
2022,5,4184.012346581657,3112905.185856753
2022,6,3356.930548079169,2416989.9946170016
2022,7,2941.6054190598106,2188554.431780499
2022,8,2109.9378450440186,1569793.7567127498
2022,9,1996.99002333229,1437832.8167992488
2022,10,2478.5881587782264,1844069.5901310006
2022,11,3126.2414787553835,2250893.864703876
2022,12,2882.9785499687505,2144936.0411767503
2023,1,3663.1282890588113,2725367.4470597557
2023,2,3783.7863372715747,2542704.418646498
2023,3,3726.520090840393,2772530.9475852526
2023,4,3546.224999393056,2553281.999563
2023,5,2498.133031664987,1858610.9755587503
2023,6,2842.329041749996,2046476.910059997
2023,7,3011.501322042002,2240556.9835992493
2023,8,2654.3849995171363,1974862.4396407492
2023,9,2505.842312961457,1804206.4653322492
2023,10,2949.1482164428785,2194166.2730335016
2023,11,2712.842151490457,1953246.3490731292
2023,12,3138.8573692479854,2335309.882720501
2024,1,2872.5178967886454,2137153.315210752
2024,2,3931.1615881472667,2736088.4653504975
2024,3,3433.5349909069214,2554550.0332347495
2024,4,4036.185349932287,2906053.4519512467
2024,5,3396.0065928319914,2526628.9050670015
2024,6,3479.4590264847197,2505210.4990689983
2024,7,2729.1919807096765,2030518.8336479992
2024,8,2537.4794127641126,1887884.6830964999
2024,9,2072.2877977892344,1492047.214408249
2024,10,3184.7539634509426,2369456.9488075012
2024,11,3434.4109903105896,2472775.9130236246
2024,12,3101.758592342407,2307708.392702751
