zone_name,day_type,avg_day_ahead_price,hour_count
capitl,weekday,34.89,1584
capitl,weekend,29.50,624
centrl,weekday,30.06,1584
centrl,weekend,25.03,624
dunwod,weekday,33.73,1584
dunwod,weekend,28.67,624
genese,weekday,29.60,1584
genese,weekend,24.59,624
hud vl,weekday,33.04,1584
hud vl,weekend,28.26,624
longil,weekday,42.87,1584
longil,weekend,35.63,624
mhk vl,weekday,30.77,1584
mhk vl,weekend,25.77,624
millwd,weekday,33.58,1584
millwd,weekend,28.54,624
north,weekday,27.80,1584
north,weekend,23.60,624
n.y.c.,weekday,34.03,1584
n.y.c.,weekend,29.02,624
west,weekday,29.58,1584
west,weekend,24.54,624
