season,hour_of_day,avg_loss_component,avg_total_lmp,observation_count
Summer,0,1.8484218559218557,30.958215811965832,1092
Summer,1,1.641317155067155,27.35721611721612,1092
Summer,2,1.4452291475710357,25.08134738771768,1091
Summer,3,1.3236080586080596,23.473864468864463,1092
Summer,4,1.276523067522151,23.193693858845087,1091
Summer,5,1.3622435897435892,24.63177655677655,1092
Summer,6,1.5768833943833938,26.746839133089118,1092
Summer,7,1.8121138583638592,29.007750305250312,1092
Summer,8,1.9880998168498156,29.170923382173363,1092
Summer,9,2.120682234432235,30.640358669108664,1092
Summer,10,2.351259938837922,34.77493119266055,1090
Summer,11,2.667483211233211,35.558434065934065,1092
Summer,12,2.8280723443223446,37.42818376068376,1092
Summer,13,3.086105006105004,40.49272588522589,1092
Summer,14,3.2284752747252767,42.453391330891336,1092
Summer,15,3.7662164224664263,48.39819444444445,1092
Summer,16,4.121356837606835,51.851222527472494,1092
Summer,17,5.825068681318679,73.8441613247863,1092
Summer,18,5.477083333333332,76.68369658119653,1092
Summer,19,3.3723397435897415,51.814511599511576,1092
Summer,20,2.968475274725274,45.51432081807083,1092
Summer,21,2.62241910866911,40.97320054945056,1092
Summer,22,2.324478021978022,34.67923840048837,1092
Summer,23,2.097103174603174,31.94044261294262,1092
Winter,0,2.9064953703703713,51.69172685185181,1080
Winter,1,2.5848611111111106,47.43810185185183,1080
Winter,2,2.4253904320987676,44.89521450617286,1080
Winter,3,2.3291743827160505,43.24600617283949,1080
Winter,4,2.233120370370371,43.134191358024694,1080
Winter,5,2.619768518518519,46.743861111111094,1080
Winter,6,3.237936728395063,54.58487037037039,1080
Winter,7,3.8854907407407366,62.77486882716047,1080
Winter,8,3.525089506172842,58.26253858024693,1080
Winter,9,3.4235925925925916,60.65383641975308,1080
Winter,10,3.783347866419296,65.05480859616569,1078
Winter,11,3.6962067901234557,63.42351697530865,1080
Winter,12,3.529341372912806,61.22237167594312,1078
Winter,13,3.336102623456789,58.71176774691362,1080
Winter,14,3.3015146604938277,62.385274691358006,1080
Winter,15,3.4023580246913583,59.61728395061725,1080
Winter,16,4.0214151234567925,67.85706635802468,1080
Winter,17,4.640779320987656,73.67777623456787,1080
Winter,18,4.542084104938268,71.82177700617281,1080
Winter,19,4.140052469135799,73.02894290123457,1080
Winter,20,3.8254660493827166,69.79479012345678,1080
Winter,21,3.501945987654323,59.93143055555553,1080
Winter,22,3.242972222222222,54.93448456790126,1080
Winter,23,3.161719135802466,53.62122993827158,1080
