timestamp,houston_hub_price
2024-06-01 00:00:00,17.69
2024-06-01 00:15:00,18.33
2024-06-01 00:30:00,17.85
2024-06-01 00:45:00,18.01
2024-06-01 01:00:00,16.57
2024-06-01 01:15:00,14.58
2024-06-01 01:30:00,13.37
2024-06-01 01:45:00,12.86
2024-06-01 02:00:00,10.29
2024-06-01 02:15:00,9.29
2024-06-01 02:30:00,6.51
2024-06-01 02:45:00,6.27
2024-06-01 03:00:00,6.31
2024-06-01 03:15:00,3.78
2024-06-01 03:30:00,3.81
2024-06-01 03:45:00,8.47
2024-06-01 04:00:00,5.3
2024-06-01 04:15:00,8.54
2024-06-01 04:30:00,9.49
2024-06-01 04:45:00,11.58
2024-06-01 05:00:00,12.5
2024-06-01 05:15:00,15.37
2024-06-01 05:30:00,18.09
2024-06-01 05:45:00,16.64
2024-06-01 06:00:00,17.66
2024-06-01 06:15:00,16.16
2024-06-01 06:30:00,15.7
2024-06-01 06:45:00,15.82
2024-06-01 07:00:00,13.94
2024-06-01 07:15:00,14.3
2024-06-01 07:30:00,14.68
2024-06-01 07:45:00,14.05
2024-06-01 08:00:00,14.72
2024-06-01 08:15:00,16.1
2024-06-01 08:30:00,15.2
2024-06-01 08:45:00,12.44
2024-06-01 09:00:00,13.78
2024-06-01 09:15:00,13.87
2024-06-01 09:30:00,13.57
2024-06-01 09:45:00,15.03
2024-06-01 10:00:00,20.09
2024-06-01 10:15:00,20.81
2024-06-01 10:30:00,19.83
2024-06-01 10:45:00,19.59
2024-06-01 11:00:00,21.37
2024-06-01 11:15:00,21.9
2024-06-01 11:30:00,33.14
2024-06-01 11:45:00,32.57
2024-06-01 12:00:00,21.41
2024-06-01 12:15:00,19.95
2024-06-01 12:30:00,19.26
2024-06-01 12:45:00,18.96
2024-06-01 13:00:00,17.92
2024-06-01 13:15:00,17.58
2024-06-01 13:30:00,16.99
2024-06-01 13:45:00,16.24
2024-06-01 14:00:00,15.97
2024-06-01 14:15:00,15.89
2024-06-01 14:30:00,17.1
2024-06-01 14:45:00,20.61
2024-06-01 15:00:00,19.81
2024-06-01 15:15:00,21.89
2024-06-01 15:30:00,21.41
2024-06-01 15:45:00,21.39
2024-06-01 16:00:00,29.1
2024-06-01 16:15:00,24.26
2024-06-01 16:30:00,31.47
2024-06-01 16:45:00,35.51
2024-06-01 17:00:00,23.89
2024-06-01 17:15:00,27.49
2024-06-01 17:30:00,22.47
2024-06-01 17:45:00,21.84
2024-06-01 18:00:00,20.66
2024-06-01 18:15:00,21.91
2024-06-01 18:30:00,22.08
2024-06-01 18:45:00,28.93
2024-06-01 19:00:00,38.19
2024-06-01 19:15:00,31.95
2024-06-01 19:30:00,35.57
2024-06-01 19:45:00,29.25
2024-06-01 20:00:00,26.61
2024-06-01 20:15:00,24.7
2024-06-01 20:30:00,23.61
2024-06-01 20:45:00,19.75
2024-06-01 21:00:00,21.8
2024-06-01 21:15:00,18.15
2024-06-01 21:30:00,17.35
2024-06-01 21:45:00,17.05
2024-06-01 22:00:00,18.61
2024-06-01 22:15:00,19.37
2024-06-01 22:30:00,18.95
2024-06-01 22:45:00,17.84
2024-06-01 23:00:00,17.98
2024-06-01 23:15:00,19.45
2024-06-01 23:30:00,18.94
2024-06-01 23:45:00,17.97
2024-06-02 00:00:00,17.85
2024-06-02 00:15:00,15.64
2024-06-02 00:30:00,15.4
2024-06-02 00:45:00,14.56
