hour_of_day,avg_loss_cost,avg_abs_loss_cost,avg_lmp,avg_congestion_cost
0,1.814076236263738,1.8232154304029322,33.45867292429792,-1.882632020757022
1,1.6106320395738185,1.613042998477928,30.722127092846243,-1.124506849315069
2,1.4745301499846977,1.4761279461279482,28.982015993266064,-0.8258689164370979
3,1.4009664987790038,1.4009664987790038,27.847283272283274,-0.583849587912088
4,1.367228327228329,1.367416056166058,27.999953449328466,-0.8149855006105006
5,1.5544986263736236,1.5551030219780186,30.35935515873011,-0.6222447344322345
6,1.9348519536019546,1.935515873015874,35.09539396367512,-1.0923580586080581
7,2.3338881257631177,2.335051129426122,40.49079861111102,-2.7052342796092823
8,2.2996924603174578,2.2996924603174578,39.825437652625006,-3.7024648962149014
9,2.18747023809524,2.1887614468864487,37.46173973595855,-4.132703373015877
10,2.335077991452989,2.3378710317460296,40.0064900793651,-5.919526480463981
11,2.395205280830287,2.3991521672771734,38.483027701465225,-4.126265644078144
12,2.407337835775335,2.4082764804639805,39.028768315018134,-4.8514877136752155
13,2.452787126068373,2.452787126068373,39.015784302502965,-4.410222451159941
14,2.5109235729548165,2.513721192002436,40.81117177960907,-5.784345238095233
15,2.7707799145299186,2.7707799145299186,43.141808989621744,-5.306318681318671
16,3.075426205738709,3.0762870115995153,47.28105769230776,-5.913528693528697
17,3.8112568681318733,3.8118200549450596,57.90261694902308,-7.282167277167273
18,3.755964781746022,3.755964781746022,57.062841307997665,-4.454844703907202
19,3.2385344169719104,3.2404758089133026,53.42908081501856,-7.151840277777777
20,2.844178495116001,2.845877213064719,47.82324900793652,-5.939454746642235
21,2.4686893315018255,2.469472298534793,41.40631791819285,-3.9562557234432316
22,2.2115884462759507,2.2122248931623973,37.164169337606786,-2.6253380647130706
23,2.008974358974359,2.0101419413919412,34.72957989926737,-1.9723603479853484
