timestamp,utc_timestamp,zone_name,lmp,timezone
2024-07-01 00:00:00,2024-07-01 05:00:00,west,19.94,CST
2024-07-01 00:00:00,2024-07-01 05:00:00,west,21.58,CST
2024-07-01 01:00:00,2024-07-01 06:00:00,west,18.37,CST
2024-07-01 01:00:00,2024-07-01 06:00:00,west,20.02,CST
2024-07-01 02:00:00,2024-07-01 07:00:00,west,17.79,CST
2024-07-01 02:00:00,2024-07-01 07:00:00,west,19.67,CST
2024-07-01 03:00:00,2024-07-01 08:00:00,west,17.63,CST
2024-07-01 03:00:00,2024-07-01 08:00:00,west,19.74,CST
2024-07-01 04:00:00,2024-07-01 09:00:00,west,17.88,CST
2024-07-01 04:00:00,2024-07-01 09:00:00,west,20.61,CST
2024-07-01 05:00:00,2024-07-01 10:00:00,west,18.37,CST
2024-07-01 05:00:00,2024-07-01 10:00:00,west,21.32,CST
2024-07-01 06:00:00,2024-07-01 11:00:00,west,19.43,CST
2024-07-01 06:00:00,2024-07-01 11:00:00,west,22.34,CST
2024-07-01 07:00:00,2024-07-01 12:00:00,west,17.66,CST
2024-07-01 07:00:00,2024-07-01 12:00:00,west,18.87,CST
2024-07-01 08:00:00,2024-07-01 13:00:00,west,12.71,CST
2024-07-01 08:00:00,2024-07-01 13:00:00,west,12.53,CST
2024-07-01 09:00:00,2024-07-01 14:00:00,west,8.67,CST
2024-07-01 09:00:00,2024-07-01 14:00:00,west,8.27,CST
2024-07-01 10:00:00,2024-07-01 15:00:00,west,8.45,CST
2024-07-01 10:00:00,2024-07-01 15:00:00,west,8.19,CST
2024-07-01 11:00:00,2024-07-01 16:00:00,west,9.42,CST
2024-07-01 11:00:00,2024-07-01 16:00:00,west,9.07,CST
2024-07-01 12:00:00,2024-07-01 17:00:00,west,7.33,CST
2024-07-01 12:00:00,2024-07-01 17:00:00,west,7.51,CST
2024-07-01 13:00:00,2024-07-01 18:00:00,west,7.67,CST
2024-07-01 13:00:00,2024-07-01 18:00:00,west,9.53,CST
2024-07-01 14:00:00,2024-07-01 19:00:00,west,7.07,CST
2024-07-01 14:00:00,2024-07-01 19:00:00,west,9.86,CST
2024-07-01 15:00:00,2024-07-01 20:00:00,west,8.14,CST
2024-07-01 15:00:00,2024-07-01 20:00:00,west,11.03,CST
2024-07-01 16:00:00,2024-07-01 21:00:00,west,6.28,CST
2024-07-01 16:00:00,2024-07-01 21:00:00,west,8.29,CST
2024-07-01 17:00:00,2024-07-01 22:00:00,west,5.75,CST
2024-07-01 17:00:00,2024-07-01 22:00:00,west,7.35,CST
2024-07-01 18:00:00,2024-07-01 23:00:00,west,5.09,CST
2024-07-01 18:00:00,2024-07-01 23:00:00,west,7.38,CST
2024-07-01 19:00:00,2024-07-02 00:00:00,west,21.07,CST
2024-07-01 19:00:00,2024-07-02 00:00:00,west,22.61,CST
2024-07-01 20:00:00,2024-07-02 01:00:00,west,36.51,CST
2024-07-01 20:00:00,2024-07-02 01:00:00,west,38.63,CST
