year,month,data_points,avg_wind_generation_mw,avg_price,total_revenue,avg_hourly_revenue
2021,1,2975,2588.4067369095824,20.424356302520994,32324521.76131946,10865.385465989733
2021,2,2688,2229.868722939729,1531.1820238095256,1083101340.5411873,402939.48680847744
2021,3,2972,3527.5841298762452,16.56265814266484,35670102.727857,12002.053407758076
2021,4,2880,3089.113019547914,39.19919444444438,53020658.658361524,18409.950923042197
2021,5,2976,3059.0967524979797,20.156011424731204,36949719.997462705,12415.900536781823
2021,6,2880,2416.641904124306,36.37874652777783,41972747.11498589,14573.870526036768
2021,7,2976,1804.0863937731817,36.72727486559145,38349864.30630759,12886.379135184003
2021,8,2976,2477.8431391300405,33.8170900537634,52779916.28894617,17735.186925049115
2021,9,2880,2350.397523492012,38.98149305555558,56985155.87416025,19786.51245630564
2021,10,2976,2891.975619158936,37.169973118279636,48444613.21374207,16278.431859456341
2021,11,2884,2962.6196637515586,37.102825936199665,55857681.29925328,19368.128051058695
2021,12,2976,3225.77986915658,21.36080309139787,35760391.53501814,12016.260596444266
2022,1,2976,2833.9215121975753,25.93684811827957,39393360.62185834,13237.016337990035
2022,2,2688,3067.4644131223986,43.270494791666636,35896070.64758512,13354.192949250415
2022,3,2972,3696.4231166653453,25.566763122476416,43129614.73218474,14511.983422673196
2022,4,2880,4069.637501656591,36.66175694444438,86825574.74902053,30147.769010076572
2022,5,2976,4184.012346581653,66.42314852150533,150960540.47324806,50725.988062247336
2022,6,2880,3356.9305480791636,57.50799652777777,120727032.19458218,41919.10840089659
2022,7,2976,2941.6054190598093,145.1190826612906,221508569.42776078,74431.6429528766
2022,8,2976,2109.937845044022,88.78133064516125,122037563.90412636,41007.245935526335
2022,9,2880,1996.9900233322894,63.36492361111121,79923904.63128628,27751.35577475218
2022,10,2976,2478.5881587782264,45.65592741935476,61222763.98432479,20572.165317313436
2022,11,2884,3128.4298935481916,36.27825589459082,57983912.90222112,20105.378953613425
2022,12,2976,2882.9785499687473,52.29204973118279,90068053.893606,30264.80305564718
2023,1,2976,3663.128289058806,20.558659274193538,40150083.71484838,13491.29157084959
2023,2,2688,3783.7863372715733,17.701134672619023,27755075.87124012,10325.549059241117
2023,3,2972,3725.1508498396406,27.237937415881543,47580020.257029295,16009.428081100032
2023,4,2880,3546.2249993930545,18.31017361111112,30587825.967953518,10620.772905539416
2023,5,2976,2498.1330316649837,30.010369623655862,50562765.79117452,16990.176677141975
2023,6,2880,2842.3290417499984,61.58677430555554,84684830.85681742,29404.455158617162
2023,7,2976,3011.5013220420024,42.79558467741935,85122972.63424909,28603.149406669723
2023,8,2976,2654.3849995171395,196.3676344086018,267530855.89653486,89896.12093297542
2023,9,2880,2505.8423129614603,89.25598958333336,108671771.80024925,37733.25409730877
2023,10,2976,2949.148216442873,29.65733870967741,53533715.529636264,17988.479680657347
2023,11,2884,2713.2735799259744,31.29522191400833,46305299.864358924,16055.929217877574
2023,12,2976,3138.8573692479786,25.586391129032247,43634569.909416705,14662.153867411527
2024,1,2976,2872.5178967886422,34.349045698924705,51662540.91547491,17359.72476998485
2024,2,2784,3931.161588147264,15.672000718390786,33526223.849166043,12042.465463062515
2024,3,2972,3436.3642968115087,26.42228465679674,43728368.1024172,14713.448217502422
2024,4,2880,4036.1853499322942,22.778552083333313,38578974.74231072,13395.47734108011
2024,5,2976,3396.006592831993,34.7571438172043,58773913.429391205,19749.29886740296
2024,6,2880,3479.4590264847193,25.014003472222264,50238773.669475555,17444.018635234566
2024,7,2976,2729.1919807096733,22.966767473118317,39760856.671638265,13360.502913856944
2024,8,2976,2537.4794127641117,37.50457661290324,61196442.97010151,20563.3208904911
2024,9,2880,2072.287797789238,27.125975694444453,32878451.84807187,11416.129113913843
2024,10,2976,3184.7539634509344,22.459771505376377,30220575.95431768,10154.763425509973
2024,11,2884,3436.885176395119,30.495995145631053,51432619.38233736,17833.779258785493
2024,12,2976,3101.7585923424012,28.92943884408599,53183255.59115364,17870.717604554313
